,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon
0,0.3,0.9999,0.01,0.995,0.01,5000.0,100.0,1361.0,0.2722,1.3043787909937146e-13
1,0.3,0.9999,0.01,0.99,0.01,5000.0,100.0,1280.0,0.256,1.4995915609979539e-24
2,0.3,0.9999,0.01,0.9,0.01,5000.0,100.0,1320.0,0.264,1.6313501853428272e-231
3,0.3,0.99,0.01,0.995,0.01,5000.0,100.0,2999.0,0.5998,1.3043787909937146e-13
4,0.3,0.99,0.01,0.99,0.01,5000.0,100.0,3060.0,0.612,1.4995915609979539e-24
5,0.3,0.99,0.01,0.9,0.01,5000.0,100.0,3275.0,0.655,1.6313501853428272e-231
6,0.3,0.97,0.01,0.995,0.01,5000.0,100.0,2856.0,0.5712,1.3043787909937146e-13
7,0.3,0.97,0.01,0.99,0.01,5000.0,100.0,2963.0,0.5926,1.4995915609979539e-24
8,0.3,0.97,0.01,0.9,0.01,5000.0,100.0,3083.0,0.6166,1.6313501853428272e-231
9,0.3,0.95,0.01,0.995,0.01,5000.0,100.0,2535.0,0.507,1.3043787909937146e-13
10,0.3,0.95,0.01,0.99,0.01,5000.0,100.0,2674.0,0.5348,1.4995915609979539e-24
11,0.3,0.95,0.01,0.9,0.01,5000.0,100.0,2820.0,0.564,1.6313501853428272e-231
12,0.3,0.9,0.01,0.995,0.01,5000.0,100.0,1948.0,0.3896,1.3043787909937146e-13
13,0.3,0.9,0.01,0.99,0.01,5000.0,100.0,2222.0,0.4444,1.4995915609979539e-24
14,0.3,0.9,0.01,0.9,0.01,5000.0,100.0,2330.0,0.466,1.6313501853428272e-231
15,0.2,0.9999,0.01,0.995,0.01,5000.0,100.0,2952.0,0.5904,1.3043787909937146e-13
16,0.2,0.9999,0.01,0.99,0.01,5000.0,100.0,1610.0,0.322,1.4995915609979539e-24
17,0.2,0.9999,0.01,0.9,0.01,5000.0,100.0,1596.0,0.3192,1.6313501853428272e-231
18,0.2,0.99,0.01,0.995,0.01,5000.0,100.0,3046.0,0.6092,1.3043787909937146e-13
19,0.2,0.99,0.01,0.99,0.01,5000.0,100.0,3209.0,0.6418,1.4995915609979539e-24
20,0.2,0.99,0.01,0.9,0.01,5000.0,100.0,3358.0,0.6716,1.6313501853428272e-231
21,0.2,0.97,0.01,0.995,0.01,5000.0,100.0,2773.0,0.5546,1.3043787909937146e-13
22,0.2,0.97,0.01,0.99,0.01,5000.0,100.0,3035.0,0.607,1.4995915609979539e-24
23,0.2,0.97,0.01,0.9,0.01,5000.0,100.0,3096.0,0.6192,1.6313501853428272e-231
24,0.2,0.95,0.01,0.995,0.01,5000.0,100.0,2720.0,0.544,1.3043787909937146e-13
25,0.2,0.95,0.01,0.99,0.01,5000.0,100.0,2827.0,0.5654,1.4995915609979539e-24
26,0.2,0.95,0.01,0.9,0.01,5000.0,100.0,2855.0,0.571,1.6313501853428272e-231
27,0.2,0.9,0.01,0.995,0.01,5000.0,100.0,1956.0,0.3912,1.3043787909937146e-13
28,0.2,0.9,0.01,0.99,0.01,5000.0,100.0,2081.0,0.4162,1.4995915609979539e-24
29,0.2,0.9,0.01,0.9,0.01,5000.0,100.0,2078.0,0.4156,1.6313501853428272e-231
30,0.1,0.9999,0.01,0.995,0.01,5000.0,100.0,3069.0,0.6138,1.3043787909937146e-13
31,0.1,0.9999,0.01,0.99,0.01,5000.0,100.0,2217.0,0.4434,1.4995915609979539e-24
32,0.1,0.9999,0.01,0.9,0.01,5000.0,100.0,2161.0,0.4322,1.6313501853428272e-231
33,0.1,0.99,0.01,0.995,0.01,5000.0,100.0,3125.0,0.625,1.3043787909937146e-13
34,0.1,0.99,0.01,0.99,0.01,5000.0,100.0,3269.0,0.6538,1.4995915609979539e-24
35,0.1,0.99,0.01,0.9,0.01,5000.0,100.0,3388.0,0.6776,1.6313501853428272e-231
36,0.1,0.97,0.01,0.995,0.01,5000.0,100.0,2988.0,0.5976,1.3043787909937146e-13
37,0.1,0.97,0.01,0.99,0.01,5000.0,100.0,3149.0,0.6298,1.4995915609979539e-24
38,0.1,0.97,0.01,0.9,0.01,5000.0,100.0,3320.0,0.664,1.6313501853428272e-231
39,0.1,0.95,0.01,0.995,0.01,5000.0,100.0,2933.0,0.5866,1.3043787909937146e-13
40,0.1,0.95,0.01,0.99,0.01,5000.0,100.0,2956.0,0.5912,1.4995915609979539e-24
41,0.1,0.95,0.01,0.9,0.01,5000.0,100.0,3053.0,0.6106,1.6313501853428272e-231
42,0.1,0.9,0.01,0.995,0.01,5000.0,100.0,2142.0,0.4284,1.3043787909937146e-13
43,0.1,0.9,0.01,0.99,0.01,5000.0,100.0,2470.0,0.494,1.4995915609979539e-24
44,0.1,0.9,0.01,0.9,0.01,5000.0,100.0,2592.0,0.5184,1.6313501853428272e-231
45,0.05,0.9999,0.01,0.995,0.01,5000.0,100.0,3148.0,0.6296,1.3043787909937146e-13
46,0.05,0.9999,0.01,0.99,0.01,5000.0,100.0,3246.0,0.6492,1.4995915609979539e-24
47,0.05,0.9999,0.01,0.9,0.01,5000.0,100.0,3444.0,0.6888,1.6313501853428272e-231
48,0.05,0.99,0.01,0.995,0.01,5000.0,100.0,3176.0,0.6352,1.3043787909937146e-13
49,0.05,0.99,0.01,0.99,0.01,5000.0,100.0,3305.0,0.661,1.4995915609979539e-24
50,0.05,0.99,0.01,0.9,0.01,5000.0,100.0,3434.0,0.6868,1.6313501853428272e-231
51,0.05,0.97,0.01,0.995,0.01,5000.0,100.0,2947.0,0.5894,1.3043787909937146e-13
52,0.05,0.97,0.01,0.99,0.01,5000.0,100.0,3278.0,0.6556,1.4995915609979539e-24
53,0.05,0.97,0.01,0.9,0.01,5000.0,100.0,3380.0,0.676,1.6313501853428272e-231
54,0.05,0.95,0.01,0.995,0.01,5000.0,100.0,2991.0,0.5982,1.3043787909937146e-13
