,alpha,gamma,epsilon,epsilon_decay,epsilon_min,n_episodes,max_steps,total_reward,mean_reward,final_epsilon,last_100_episodes_reward
0,0.3,0.9999,0.01,0.995,0.01,5000.0,100.0,3007.0,0.6014,1.3043787909937146e-13,0.54
1,0.3,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
2,0.3,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
3,0.3,0.99,0.01,0.995,0.01,5000.0,100.0,3053.0,0.6106,1.3043787909937146e-13,0.67
4,0.3,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
5,0.3,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
6,0.3,0.97,0.01,0.995,0.01,5000.0,100.0,2794.0,0.5588,1.3043787909937146e-13,0.61
7,0.3,0.97,0.01,0.99,0.01,5000.0,100.0,2855.0,0.571,1.4995915609979539e-24,0.69
8,0.3,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
9,0.3,0.95,0.01,0.995,0.01,5000.0,100.0,2504.0,0.5008,1.3043787909937146e-13,0.53
10,0.3,0.95,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
11,0.3,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
12,0.3,0.9,0.01,0.995,0.01,5000.0,100.0,0.0,0.0,1.3043787909937146e-13,0.0
13,0.3,0.9,0.01,0.99,0.01,5000.0,100.0,2117.0,0.4234,1.4995915609979539e-24,0.34
14,0.3,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
15,0.2,0.9999,0.01,0.995,0.01,5000.0,100.0,3074.0,0.6148,1.3043787909937146e-13,0.72
16,0.2,0.9999,0.01,0.99,0.01,5000.0,100.0,3146.0,0.6292,1.4995915609979539e-24,0.67
17,0.2,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
18,0.2,0.99,0.01,0.995,0.01,5000.0,100.0,3074.0,0.6148,1.3043787909937146e-13,0.67
19,0.2,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
20,0.2,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
21,0.2,0.97,0.01,0.995,0.01,5000.0,100.0,2901.0,0.5802,1.3043787909937146e-13,0.7
22,0.2,0.97,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
23,0.2,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
24,0.2,0.95,0.01,0.995,0.01,5000.0,100.0,2703.0,0.5406,1.3043787909937146e-13,0.65
25,0.2,0.95,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
26,0.2,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
27,0.2,0.9,0.01,0.995,0.01,5000.0,100.0,2128.0,0.4256,1.3043787909937146e-13,0.42
28,0.2,0.9,0.01,0.99,0.01,5000.0,100.0,2166.0,0.4332,1.4995915609979539e-24,0.53
29,0.2,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
30,0.1,0.9999,0.01,0.995,0.01,5000.0,100.0,199.0,0.0398,1.3043787909937146e-13,0.22
31,0.1,0.9999,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
32,0.1,0.9999,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
33,0.1,0.99,0.01,0.995,0.01,5000.0,100.0,1812.0,0.3624,1.3043787909937146e-13,0.66
34,0.1,0.99,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
35,0.1,0.99,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
36,0.1,0.97,0.01,0.995,0.01,5000.0,100.0,2890.0,0.578,1.3043787909937146e-13,0.69
37,0.1,0.97,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
38,0.1,0.97,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
39,0.1,0.95,0.01,0.995,0.01,5000.0,100.0,2380.0,0.476,1.3043787909937146e-13,0.66
40,0.1,0.95,0.01,0.99,0.01,5000.0,100.0,1.0,0.0002,1.4995915609979539e-24,0.0
41,0.1,0.95,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
42,0.1,0.9,0.01,0.995,0.01,5000.0,100.0,1819.0,0.3638,1.3043787909937146e-13,0.38
43,0.1,0.9,0.01,0.99,0.01,5000.0,100.0,0.0,0.0,1.4995915609979539e-24,0.0
44,0.1,0.9,0.01,0.9,0.01,5000.0,100.0,0.0,0.0,1.6313501853428272e-231,0.0
45,0.05,0.9999,0.01,0.995,0.01,5000.0,100.0,2133.0,0.4266,1.3043787909937146e-13,0.5
