"Id","Creation Time","Owner","Name","Tags","Group Tags","params/learning_rate","params/discount factor","params/batch size","params/type","params/tau","train/last_100_avg_duration (average)","train/last_100_avg_duration (last)"
"RLPROJ1-49","2024-12-14 22:42:30","benmaman","RLPROJ1-49","[]","[]","1.0E-4","0.99","32","Double DQN","0.5","94.54277347121135","95.65"
"RLPROJ1-48","2024-12-14 22:34:03","benmaman","RLPROJ1-48","[]","[]","1.0E-4","0.99","32","Double DQN","0.1","155.19141612692655","158.68"
"RLPROJ1-47","2024-12-14 22:27:29","benmaman","RLPROJ1-47","[]","[]","1.0E-4","0.99","32","Double DQN","0.01","118.62133795746391","146.45"
"RLPROJ1-46","2024-12-14 22:22:00","benmaman","RLPROJ1-46","[]","[]","1.0E-4","0.97","32","Double DQN","0.5","100.91024620810488","126.79"
"RLPROJ1-45","2024-12-14 22:15:45","benmaman","RLPROJ1-45","[]","[]","1.0E-4","0.97","32","Double DQN","0.1","115.91151859954975","121.33"
"RLPROJ1-44","2024-12-14 22:10:28","benmaman","RLPROJ1-44","[]","[]","1.0E-4","0.97","32","Double DQN","0.01","98.46828898173938","98.65"
"RLPROJ1-43","2024-12-14 22:02:01","benmaman","RLPROJ1-43","[]","[]","1.0E-4","0.95","32","Double DQN","0.5","161.24238597658513","116.3"
"RLPROJ1-42","2024-12-14 21:53:18","benmaman","RLPROJ1-42","[]","[]","1.0E-4","0.95","32","Double DQN","0.1","160.27365126056333","194.85"
"RLPROJ1-41","2024-12-14 21:45:30","benmaman","RLPROJ1-41","[]","[]","1.0E-4","0.95","32","Double DQN","0.01","145.0560356598406","152.96"
"RLPROJ1-40","2024-12-14 21:32:35","benmaman","RLPROJ1-40","[]","[]","0.001","0.99","32","Double DQN","0.5","250.88759408423775","170.1"
"RLPROJ1-39","2024-12-14 21:18:51","benmaman","RLPROJ1-39","[]","[]","0.001","0.99","32","Double DQN","0.1","245.8166005277202","448.05"
"RLPROJ1-38","2024-12-14 21:00:06","benmaman","RLPROJ1-38","[]","[]","0.001","0.99","32","Double DQN","0.01","338.3384212573926","279.17"
"RLPROJ1-37","2024-12-14 20:50:01","benmaman","RLPROJ1-37","[]","[]","0.001","0.97","32","Double DQN","0.5","169.9742326292958","150.62"
"RLPROJ1-36","2024-12-14 20:36:16","benmaman","RLPROJ1-36","[]","[]","0.001","0.97","32","Double DQN","0.1","200.8525873730259","278.98"
"RLPROJ1-35","2024-12-14 20:25:39","benmaman","RLPROJ1-35","[]","[]","0.001","0.97","32","Double DQN","0.01","176.8216873346857","187.57"
"RLPROJ1-34","2024-12-14 20:17:56","benmaman","RLPROJ1-34","[]","[]","0.001","0.95","32","Double DQN","0.5","153.10430571709605","174.11"
"RLPROJ1-33","2024-12-14 20:10:52","benmaman","RLPROJ1-33","[]","[]","0.001","0.95","32","Double DQN","0.1","172.032286584052","158.22"
"RLPROJ1-32","2024-12-14 20:00:39","benmaman","RLPROJ1-32","[]","[]","0.001","0.95","32","Double DQN","0.01","187.38747540600215","196.26"
"RLPROJ1-31","2024-12-14 19:58:33","benmaman","RLPROJ1-31","[]","[]","0.01","0.99","32","Double DQN","0.5","37.99936128756419","10.08"
"RLPROJ1-30","2024-12-14 19:47:56","benmaman","RLPROJ1-30","[]","[]","0.01","0.99","32","Double DQN","0.1","193.40132319945232","165.12"
"RLPROJ1-29","2024-12-14 19:31:43","benmaman","RLPROJ1-29","[]","[]","0.01","0.99","32","Double DQN","0.01","275.60335949441264","335.74"
"RLPROJ1-28","2024-12-14 19:21:58","benmaman","RLPROJ1-28","[]","[]","0.01","0.97","32","Double DQN","0.5","172.6697549321588","233.11"
"RLPROJ1-27","2024-12-14 19:08:29","benmaman","RLPROJ1-27","[]","[]","0.01","0.97","32","Double DQN","0.1","232.90876663883265","316.98"
"RLPROJ1-26","2024-12-14 18:54:59","benmaman","RLPROJ1-26","[]","[]","0.01","0.97","32","Double DQN","0.01","244.65271025729507","196.61"
"RLPROJ1-25","2024-12-14 18:42:35","benmaman","RLPROJ1-25","[]","[]","0.01","0.95","32","Double DQN","0.5","221.2788791094027","220.25"
"RLPROJ1-24","2024-12-14 18:29:11","benmaman","RLPROJ1-24","[]","[]","0.01","0.95","32","Double DQN","0.1","235.0781331214565","277.5"
"RLPROJ1-23","2024-12-14 18:15:48","benmaman","RLPROJ1-23","[]","[]","0.01","0.95","32","Double DQN","0.01","235.43183926257964","250.98"
