"Id","Creation Time","Owner","Name","Tags","Group Tags","params/discount factor","params/learning_rate","params/tau","train/last_100_avg_duration (last)","train/last_100_avg_duration (average)"
"RLPROJ2-27","2024-12-15 06:12:21","benmaman","RLPROJ2-27","[]","[]","0.99","1.0E-4","0.5","53.79","68.71814896150107"
"RLPROJ2-26","2024-12-15 05:48:49","benmaman","RLPROJ2-26","[]","[]","0.99","1.0E-4","0.1","465.17","262.5577735416558"
"RLPROJ2-25","2024-12-15 05:22:49","benmaman","RLPROJ2-25","[]","[]","0.99","1.0E-4","0.01","488.42","288.2228989482486"
"RLPROJ2-24","2024-12-15 05:02:33","benmaman","RLPROJ2-24","[]","[]","0.97","1.0E-4","0.5","270.41","228.0738424398907"
"RLPROJ2-23","2024-12-15 04:42:29","benmaman","RLPROJ2-23","[]","[]","0.97","1.0E-4","0.1","277.96","223.64181209737833"
"RLPROJ2-22","2024-12-15 04:27:34","benmaman","RLPROJ2-22","[]","[]","0.97","1.0E-4","0.01","186.83","168.4499894487278"
"RLPROJ2-21","2024-12-15 04:14:28","benmaman","RLPROJ2-21","[]","[]","0.95","1.0E-4","0.5","153.77","149.78713801480703"
"RLPROJ2-20","2024-12-15 03:55:33","benmaman","RLPROJ2-20","[]","[]","0.95","1.0E-4","0.1","253.55","212.95057124748854"
"RLPROJ2-19","2024-12-15 03:38:18","benmaman","RLPROJ2-19","[]","[]","0.95","1.0E-4","0.01","210.24","195.17697766054266"
"RLPROJ2-18","2024-12-15 03:33:00","benmaman","RLPROJ2-18","[]","[]","0.99","0.001","0.5","49.97","62.30176461599331"
"RLPROJ2-17","2024-12-15 03:29:16","benmaman","RLPROJ2-17","[]","[]","0.99","0.001","0.1","23.14","45.46226206307505"
"RLPROJ2-16","2024-12-15 03:07:35","benmaman","RLPROJ2-16","[]","[]","0.99","0.001","0.01","346.66","238.38008012573133"
"RLPROJ2-15","2024-12-15 02:51:59","benmaman","RLPROJ2-15","[]","[]","0.97","0.001","0.5","263.65","173.37978893768152"
"RLPROJ2-14","2024-12-15 02:30:54","benmaman","RLPROJ2-14","[]","[]","0.97","0.001","0.1","339.61","236.1963636120434"
"RLPROJ2-13","2024-12-15 02:14:09","benmaman","RLPROJ2-13","[]","[]","0.97","0.001","0.01","221.19","191.15315175374144"
"RLPROJ2-12","2024-12-15 02:00:48","benmaman","RLPROJ2-12","[]","[]","0.95","0.001","0.5","307.33","141.9116120461002"
"RLPROJ2-11","2024-12-15 01:44:47","benmaman","RLPROJ2-11","[]","[]","0.95","0.001","0.1","285.71","179.16768867266038"
"RLPROJ2-10","2024-12-15 01:34:07","benmaman","RLPROJ2-10","[]","[]","0.95","0.001","0.01","129.79","123.4161095580773"
"RLPROJ2-9","2024-12-15 01:32:37","benmaman","RLPROJ2-9","[]","[]","0.99","0.01","0.5","9.72","12.322326132319626"
"RLPROJ2-8","2024-12-15 01:30:57","benmaman","RLPROJ2-8","[]","[]","0.99","0.01","0.1","9.23","21.550935412461087"
"RLPROJ2-7","2024-12-15 01:21:59","benmaman","RLPROJ2-7","[]","[]","0.99","0.01","0.01","119.23","99.66855035235277"
"RLPROJ2-6","2024-12-15 01:06:36","benmaman","RLPROJ2-6","[]","[]","0.97","0.01","0.5","202.38","177.2890047201653"
"RLPROJ2-5","2024-12-15 00:52:59","benmaman","RLPROJ2-5","[]","[]","0.97","0.01","0.1","173.57","156.23675824611783"
"RLPROJ2-4","2024-12-15 00:41:32","benmaman","RLPROJ2-4","[]","[]","0.97","0.01","0.01","166.05","128.56071333032898"
"RLPROJ2-3","2024-12-15 00:30:45","benmaman","RLPROJ2-3","[]","[]","0.95","0.01","0.5","96.57","129.85391971971967"
"RLPROJ2-2","2024-12-15 00:19:24","benmaman","RLPROJ2-2","[]","[]","0.95","0.01","0.1","208.15","159.87030125295038"
"RLPROJ2-1","2024-12-15 00:09:32","benmaman","RLPROJ2-1","[]","[]","0.95","0.01","0.01","166.14","150.36597938473287"
